to,Ukraine,United Kingdom,Luxembourg,Azerbaijan,San Marino,Malta,Croatia,Albania,Czechia,Israel,Australia,Denmark,Spain,Norway,Germany,Armenia,Slovenia,Georgia,Switzerland,Moldova,Greece,Estonia,Netherlands,Austria,France,Italy,Finland,Portugal,Belgium,Iceland,Latvia,Ireland,Poland,Cyprus,Lithuania,Serbia,Sweden
Sweden,8,6,1,5,2,0,2,0,8,0,5,5,8,3,12,0,0,0,0,1,1,6,0,0,0,6,7,3,3,1,5,10,5,2,5,5,0
Ukraine,0,0,5,1,0,0,7,0,12,8,1,6,0,4,4,0,0,5,2,12,2,10,2,6,10,0,8,6,1,3,8,2,10,1,6,1,3
Germany,7,2,4,0,1,0,0,0,5,10,0,0,5,6,0,1,0,2,0,0,5,4,5,0,8,4,3,2,8,2,4,6,4,0,1,0,0
Luxembourg,1,4,0,8,0,4,5,4,0,12,2,1,0,0,3,0,5,0,0,2,3,0,0,0,7,0,4,0,0,0,0,8,0,4,0,0,6
Israel,0,0,0,0,0,3,0,0,0,0,0,0,0,8,8,0,0,3,0,3,0,5,0,0,3,0,0,0,5,0,2,0,0,8,4,0,0
Lithuania,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,4,0,1,0,0,7,0,0,0,0,0,0,0,7,0
Spain,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,7,1,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Ireland,10,7,0,10,7,7,8,0,7,0,12,7,10,0,0,0,1,0,10,0,0,0,0,3,0,10,6,10,4,7,0,0,1,0,3,2,0
Latvia,0,3,8,0,0,5,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Greece,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,4,2,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,3,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,8,3,4,0,0,0,4,8
Norway,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0
Italy,2,5,0,6,10,8,6,10,0,6,7,0,1,5,2,8,3,7,6,10,8,3,6,10,0,0,0,5,7,0,0,0,7,3,0,6,7
Serbia,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0
Finland,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,3,12,3,0,5,1,12,5,3,3,0,0,3,0,0,10,8,4,7,4,6,0,8,0,12,0,0,0,2,4,1,5,6,0,8,0,4
Armenia,0,0,2,0,8,0,0,8,6,0,0,3,0,7,7,0,7,6,4,0,4,0,3,7,6,3,0,8,0,5,7,0,0,0,0,0,0
Cyprus,0,1,7,2,3,0,1,0,0,0,6,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Switzerland,12,10,12,12,12,12,0,12,10,5,10,12,12,12,5,7,10,12,0,7,12,12,12,12,5,12,12,12,10,6,12,12,12,6,12,10,12
Slovenia,0,0,0,3,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,4,8,6,4,0,10,0,3,2,4,8,8,0,0,6,6,6,1,8,8,0,8,7,8,2,8,10,0,0,10,6,7,8,12,10,12,10
Georgia,0,0,0,7,0,2,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,6,0,10,0,0,6,4,0,4,1,0,10,7,10,10,12,12,10,5,6,7,7,10,5,0,1,5,0,12,12,10,3,3,10,7,8,5
Austria,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
